algorithm,metric,feature_name,feature_value,shapley_value
inductive,benchtime,svo,154,1.7466666666666668
inductive,benchtime,ekbr3,00,-1.41
inductive,benchtime,rt5v,023,-1.425
inductive,benchtime,svo,1161,4.784999999999999
inductive,benchtime,ekbr3,00,-2.588333333333333
inductive,benchtime,rt5v,023,5.536666666666666
inductive,benchtime,saq1,10527,5.8116666666666665
inductive,benchtime,nusa,211,1646.215
inductive,benchtime,svo,1765,-782.21
inductive,benchtime,tlkh,-097,-808.3849999999998
inductive,benchtime,nusa,211,1677.1866666666665
inductive,benchtime,svo,1765,-763.8433333333334
inductive,benchtime,tlkh,437,-713.1533333333332
inductive,benchtime,nusa,211,1640.4116666666666
inductive,benchtime,svo,1765,-829.3783333333331
inductive,benchtime,tlv,11103,-693.6133333333332
inductive,benchtime,aq1,10,43.05833333333334
inductive,benchtime,ekbr3,097,49.24333333333333
inductive,benchtime,svo,154,48.82833333333334
inductive,benchtime,aq1,10,4.24
inductive,benchtime,ekbr3,097,11.64
inductive,benchtime,svo,355,10.88
inductive,benchtime,rt5v,023,-1.0400000000000005
inductive,benchtime,svo,154,-2.165
inductive,benchtime,saq1,3576,6.465
inductive,benchtime,aq1,7992,1762.6249999999998
inductive,benchtime,ekbr3,146,-857.0100000000001
inductive,benchtime,svo,355,-893.2050000000003
inductive,benchtime,aq1,10,-1.178333333333334
inductive,benchtime,ekbr3,097,2.4766666666666666
inductive,benchtime,svo,758,9.311666666666666
inductive,benchtime,rt5v,023,-3.483333333333334
inductive,benchtime,svo,154,-3.4883333333333333
inductive,benchtime,tlv,2776,8.331666666666665
inductive,benchtime,aq1,10,31.03
inductive,benchtime,ekbr3,097,34.440000000000005
inductive,benchtime,svo,959,61.95000000000001
inductive,benchtime,aq1,12727,8.386666666666667
inductive,benchtime,rt5v,00,1.801666666666667
inductive,benchtime,svo,154,1.5416666666666663
inductive,benchtime,aq1,7992,1763.7016666666666
inductive,benchtime,ekbr3,146,-854.9133333333334
inductive,benchtime,svo,758,-886.6283333333336
inductive,benchtime,rt5v,023,-2.386666666666667
inductive,benchtime,svo,355,-2.671666666666667
inductive,benchtime,saq1,3576,6.298333333333335
